Name,ID,Has Block,Mod,Class,Display Name
minecraft:torch,50,true,minecraft,net.minecraft.item.ItemBlock,火把
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock,火
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner,刷怪笼
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock,橡木楼梯
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock,箱子
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock,钻石矿石
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock,钻石块
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock,工作台
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock,耕地
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock,熔炉
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock,熔炉
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock,梯子
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock,轨道
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock,圆石楼梯
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock,拉杆
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock,压力板
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock,橡木压力板
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock,红石矿石
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock,红石火把
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock,按钮
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow,雪
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock,冰
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock,雪
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock,仙人掌
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock,黏土块
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock,唱片机
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock,橡木栅栏
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock,南瓜
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock,下界岩
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock,灵魂沙
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock,荧石
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock,传送门
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock,南瓜灯
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth,白色染色玻璃
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock,橡木活板门
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture,被虫蚀的石头
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture,石砖
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock,铁栏杆
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock,玻璃板
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock,西瓜
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored,藤蔓
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock,橡木栅栏门
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock,砖楼梯
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock,石砖楼梯
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock,菌丝
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad,睡莲
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock,下界砖
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock,下界砖栅栏
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock,下界砖楼梯
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock,附魔台
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock,末地传送门
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock,末地传送门
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock,末地石
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock,龙蛋
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock,红石灯
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab,橡木台阶
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab,橡木台阶
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock,可可果
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock,沙石楼梯
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock,绿宝石矿石
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock,私人末影箱子
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock,绊线钩
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock,绿宝石块
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock,云杉木楼梯
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock,白桦木楼梯
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock,丛林木楼梯
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock,命令方块
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock,信标
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture,圆石墙
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock,胡萝卜
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock,马铃薯
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock,橡木按钮
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock,铁砧
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock,陷阱箱
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock,轻质测重压力板
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock,重质测重压力板
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock,阳光探测器
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock,红石块
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock,下界石英矿石
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock,漏斗
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture,石英块
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock,石英楼梯
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock,激活轨道
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock,投掷器
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth,白色陶瓦
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth,白色染色玻璃板
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves,金合欢树叶
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture,金合欢原木
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock,金合欢木楼梯
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock,深色橡木楼梯
IC2:blockOreCopper,165,true,IC2,ic2.core.item.block.ItemBlockIC2,铜矿石
IC2:blockOreTin,166,true,IC2,ic2.core.item.block.ItemBlockIC2,锡矿石
IC2:blockOreUran,167,true,IC2,ic2.core.item.block.ItemBlockIC2,铀矿石
IC2:blockOreLead,168,true,IC2,ic2.core.item.block.ItemBlockIC2,铅矿石
IC2:blockRubWood,169,true,IC2,ic2.core.item.block.ItemBlockIC2,橡胶树原木
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock,干草块
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth,地毯
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock,陶瓦
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock,煤炭块
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock,浮冰
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant,向日葵
IC2:blockRubLeaves,176,true,IC2,ic2.core.item.block.ItemRubLeaves,橡胶树树叶
IC2:blockRubSapling,177,true,IC2,ic2.core.item.block.ItemBlockIC2,橡胶树树苗
IC2:blockHarz,178,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockHarz
IC2:blockRubber,179,true,IC2,ic2.core.item.block.ItemBlockIC2,橡胶垫
IC2:blockFenceIron,180,true,IC2,ic2.core.item.block.ItemBlockIC2,铁栅栏
IC2:blockAlloy,181,true,IC2,ic2.core.item.block.ItemBlockIC2,防爆石
IC2:blockBasalt,182,true,IC2,ic2.core.item.block.ItemBlockIC2,玄武岩
IC2:blockAlloyGlass,183,true,IC2,ic2.core.item.block.ItemBlockIC2,防爆玻璃
IC2:blockDoorAlloy,184,true,IC2,net.minecraft.item.ItemBlock,防爆门
IC2:blockReinforcedFoam,185,true,IC2,ic2.core.item.block.ItemBlockIC2,强化建筑泡沫
IC2:blockFoam,186,true,IC2,ic2.core.item.block.ItemBlockIC2,建筑泡沫
IC2:blockWall,187,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockWall
IC2:blockScaffold,188,true,IC2,ic2.core.item.block.ItemBlockIC2,脚手架
IC2:blockIronScaffold,189,true,IC2,ic2.core.item.block.ItemBlockIC2,铁质脚手架
IC2:blockMetal,190,true,IC2,ic2.core.item.block.ItemBlockMetal,铜块
IC2:blockCable,191,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockCable
IC2:blockKineticGenerator,192,true,IC2,ic2.core.item.block.ItemKineticGenerator,风力动能发生机
IC2:blockHeatGenerator,193,true,IC2,ic2.core.item.block.ItemHeatGenerator,固体加热机
IC2:blockGenerator,194,true,IC2,ic2.core.item.block.ItemGenerator,放射性同位素温差发电机之力
IC2:blockReactorChamber,195,true,IC2,ic2.core.item.block.ItemBlockIC2,核反应仓
IC2:blockReactorFluidPort,196,true,IC2,ic2.core.item.block.ItemBlockIC2,反应堆流体接口
IC2:blockReactorAccessHatch,197,true,IC2,ic2.core.item.block.ItemBlockIC2,反应堆访问接口
IC2:blockReactorRedstonePort,198,true,IC2,ic2.core.item.block.ItemBlockIC2,反应堆红石接口
IC2:blockreactorvessel,199,true,IC2,ic2.core.item.block.ItemBlockIC2,反应堆压力容器
IC2:blockElectric,200,true,IC2,ic2.core.item.block.ItemElectricBlock,储电盒
IC2:blockChargepad,201,true,IC2,ic2.core.item.block.ItemChargepadBlock,充电座
IC2:blockMachine,202,true,IC2,ic2.core.item.block.ItemMachine,基础机器外壳
IC2:blockMachine2,203,true,IC2,ic2.core.item.block.ItemMachine2,传送机
IC2:blockMachine3,204,true,IC2,ic2.core.item.block.ItemMachine3,蒸汽机
IC2:blockLuminatorDark,205,true,IC2,ic2.core.item.block.ItemLuminator,日光灯
IC2:blockLuminator,206,true,IC2,ic2.core.item.block.ItemLuminator,日光灯
IC2:blockMiningPipe,207,true,IC2,ic2.core.item.block.ItemBlockIC2,采矿管道
IC2:blockMiningTip,208,true,IC2,ic2.core.item.block.ItemBlockIC2,采矿管道
IC2:blockPersonal,209,true,IC2,ic2.core.item.block.ItemPersonalBlock,保险箱
IC2:blockITNT,210,true,IC2,ic2.core.item.block.ItemBlockIC2,工业TNT
IC2:blockNuke,211,true,IC2,ic2.core.item.block.ItemBlockIC2,核弹
IC2:blockDynamite,212,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockDynamite
IC2:blockDynamiteRemote,213,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockDynamiteRemote
IC2:blockCrop,214,true,IC2,ic2.core.item.block.ItemBlockIC2,作物架
IC2:blockBarrel,215,true,IC2,ic2.core.item.block.ItemBlockIC2,酒桶
IC2:fluidUuMatter,216,true,IC2,ic2.core.item.block.ItemBlockIC2,UU物质
IC2:fluidConstructionFoam,217,true,IC2,ic2.core.item.block.ItemBlockIC2,建筑泡沫
IC2:fluidCoolant,218,true,IC2,ic2.core.item.block.ItemBlockIC2,冷却液
IC2:fluidHotCoolant,219,true,IC2,ic2.core.item.block.ItemBlockIC2,热冷却液
IC2:fluidPahoehoeLava,220,true,IC2,ic2.core.item.block.ItemBlockIC2,熔岩岩浆
IC2:fluidBiomass,221,true,IC2,ic2.core.item.block.ItemBlockIC2,生物质
IC2:fluidBiogas,222,true,IC2,ic2.core.item.block.ItemBlockIC2,沼气
IC2:fluidDistilledWater,223,true,IC2,ic2.core.item.block.ItemBlockIC2,蒸馏水
IC2:fluidSuperheatedSteam,224,true,IC2,ic2.core.item.block.ItemBlockIC2,过热蒸汽
IC2:fluidSteam,225,true,IC2,ic2.core.item.block.ItemBlockIC2,蒸汽
IC2:fluidHotWater,226,true,IC2,ic2.core.item.block.ItemBlockIC2,Heated Water
AdvancedSolarPanel:BlockMolecularTransformer,227,true,AdvancedSolarPanel,advsolar.common.items.ItemMolecularTransformer,分子重组仪
AdvancedSolarPanel:BlockAdvSolarPanel,228,true,AdvancedSolarPanel,advsolar.common.items.ItemAdvSolarPanel,高级太阳能发电机
battlegear2:flagpole,229,true,battlegear2,mods.battlegear2.heraldry.ItemBlockFlagPole,橡木旗杆
Thaumcraft:blockFluxGoo,231,true,Thaumcraft,thaumcraft.common.blocks.BlockFluxGooItem,咒波黏浆
Thaumcraft:blockFluxGas,232,true,Thaumcraft,thaumcraft.common.blocks.BlockFluxGasItem,咒波瓦斯
Thaumcraft:blockFluidPure,233,true,Thaumcraft,net.minecraft.item.ItemBlock,净化之水
Thaumcraft:blockFluidDeath,234,true,Thaumcraft,net.minecraft.item.ItemBlock,死亡之水
Thaumcraft:blockCustomOre,235,true,Thaumcraft,thaumcraft.common.blocks.BlockCustomOreItem,朱砂矿石
Thaumcraft:blockMagicalLog,236,true,Thaumcraft,thaumcraft.common.blocks.BlockMagicalLogItem,宏伟之木原木
Thaumcraft:blockMagicalLeaves,237,true,Thaumcraft,thaumcraft.common.blocks.BlockMagicalLeavesItem,宏伟之木树叶
Thaumcraft:blockCustomPlant,238,true,Thaumcraft,thaumcraft.common.blocks.BlockCustomPlantItem,宏伟之木树苗
Thaumcraft:blockTaint,239,true,Thaumcraft,thaumcraft.common.blocks.BlockTaintItem,陈年污点
Thaumcraft:blockTaintFibres,240,true,Thaumcraft,thaumcraft.common.blocks.BlockTaintFibresItem,腐化草丛
Thaumcraft:blockCosmeticOpaque,241,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticOpaqueItem,琥珀方块
Thaumcraft:blockCosmeticSolid,242,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticSolidItem,黑曜石图腾
Thaumcraft:blockCrystal,243,true,Thaumcraft,thaumcraft.common.blocks.BlockCrystalItem,风之魔晶
Thaumcraft:blockTube,244,true,Thaumcraft,thaumcraft.common.blocks.BlockTubeItem,源质管道
Thaumcraft:blockMetalDevice,245,true,Thaumcraft,thaumcraft.common.blocks.BlockMetalDeviceItem,坩埚
Thaumcraft:blockWoodenDevice,246,true,Thaumcraft,thaumcraft.common.blocks.BlockWoodenDeviceItem,奥术风箱
Thaumcraft:blockStoneDevice,247,true,Thaumcraft,thaumcraft.common.blocks.BlockStoneDeviceItem,炼金炉
Thaumcraft:blockMirror,248,true,Thaumcraft,thaumcraft.common.blocks.BlockMirrorItem,魔镜
Thaumcraft:blockTable,249,true,Thaumcraft,thaumcraft.common.blocks.BlockTableItem,台桌
Thaumcraft:blockChestHungry,250,true,Thaumcraft,net.minecraft.item.ItemBlock,饕餮箱子
Thaumcraft:blockArcaneDoor,251,true,Thaumcraft,net.minecraft.item.ItemBlock,奥能之扉
Thaumcraft:blockLifter,252,true,Thaumcraft,net.minecraft.item.ItemBlock,奥术悬浮台
Thaumcraft:blockMagicBox,253,true,Thaumcraft,net.minecraft.item.ItemBlock,奥法之盒
Thaumcraft:blockAlchemyFurnace,254,true,Thaumcraft,net.minecraft.item.ItemBlock,荒古炼金炉
Thaumcraft:blockJar,255,true,Thaumcraft,thaumcraft.common.blocks.BlockJarItem,源质罐子
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade,铁锹
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe,铁镐
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe,铁斧
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel,打火石
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood,苹果
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow,弓
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item,箭
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal,煤炭
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item,钻石
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item,铁锭
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item,金锭
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword,铁剑
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword,木剑
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade,木锹
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe,木镐
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe,木斧
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword,石剑
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade,石锹
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe,石镐
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe,石斧
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword,钻石剑
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade,钻石锹
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe,钻石镐
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe,钻石斧
minecraft:stick,280,false,minecraft,net.minecraft.item.Item,木棍
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item,碗
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup,蘑菇煲
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword,金剑
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade,金锹
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe,金镐
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe,金斧
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed,线
minecraft:feather,288,false,minecraft,net.minecraft.item.Item,羽毛
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item,火药
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe,木锄
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe,石锄
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe,铁锄
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe,钻石锄
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe,金锄
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds,小麦种子
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item,小麦
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood,面包
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor,皮革帽子
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor,皮革外套
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor,皮革裤子
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor,皮革靴子
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor,锁链头盔
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor,锁链胸甲
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor,锁链护腿
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor,锁链靴子
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor,铁头盔
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor,铁胸甲
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor,铁护腿
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor,铁靴子
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor,钻石头盔
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor,钻石胸甲
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor,钻石护腿
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor,钻石靴子
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor,金头盔
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor,金胸甲
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor,金护腿
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor,金靴子
minecraft:flint,318,false,minecraft,net.minecraft.item.Item,燧石
minecraft:porkchop,319,false,minecraft,net.minecraft.item.ItemFood,生猪排
minecraft:cooked_porkchop,320,false,minecraft,net.minecraft.item.ItemFood,熟猪排
minecraft:painting,321,false,minecraft,net.minecraft.item.ItemHangingEntity,画
minecraft:golden_apple,322,false,minecraft,net.minecraft.item.ItemAppleGold,金苹果
minecraft:sign,323,false,minecraft,net.minecraft.item.ItemSign,橡木告示牌
minecraft:wooden_door,324,false,minecraft,net.malisis.doors.door.item.DoorItem,橡木门
minecraft:bucket,325,false,minecraft,net.minecraft.item.ItemBucket,铁桶
minecraft:water_bucket,326,false,minecraft,net.minecraft.item.ItemBucket,水桶
minecraft:lava_bucket,327,false,minecraft,net.minecraft.item.ItemBucket,岩浆桶
minecraft:minecart,328,false,minecraft,net.minecraft.item.ItemMinecart,矿车
minecraft:saddle,329,false,minecraft,net.minecraft.item.ItemSaddle,鞍
minecraft:iron_door,330,false,minecraft,net.malisis.doors.door.item.DoorItem,铁门
minecraft:redstone,331,false,minecraft,net.minecraft.item.ItemRedstone,红石粉
minecraft:snowball,332,false,minecraft,net.minecraft.item.ItemSnowball,雪球
minecraft:boat,333,false,minecraft,net.minecraft.item.ItemBoat,橡木船
minecraft:leather,334,false,minecraft,net.minecraft.item.Item,皮革
minecraft:milk_bucket,335,false,minecraft,net.minecraft.item.ItemBucketMilk,牛奶桶
minecraft:brick,336,false,minecraft,net.minecraft.item.Item,红砖
minecraft:clay_ball,337,false,minecraft,net.minecraft.item.Item,黏土
minecraft:reeds,338,false,minecraft,net.minecraft.item.ItemReed,甘蔗
minecraft:paper,339,false,minecraft,net.minecraft.item.Item,纸
minecraft:book,340,false,minecraft,net.minecraft.item.ItemBook,书
minecraft:slime_ball,341,false,minecraft,net.minecraft.item.Item,黏液球
minecraft:chest_minecart,342,false,minecraft,net.minecraft.item.ItemMinecart,箱子车
minecraft:furnace_minecart,343,false,minecraft,net.minecraft.item.ItemMinecart,熔炉车
minecraft:egg,344,false,minecraft,net.minecraft.item.ItemEgg,鸡蛋
